freq;ampx;ampy;ampz;dc0x;cos1x;sin1x;cos2x;sin2x;cos3x;sin3x;dc0y;cos1y;sin1y;cos2y;sin2y;cos3y;sin3y;dc0z;cos1z;sin1z;cos2z;sin2z;cos3z;sin3z
6.177244196052513;0.006447614944618458;2.73948658602185e-13;4.915519042129472e-05;-5.836214672821413e-08;0.006447515321166597;1.640874551965973e-05;-5.836086541990056e-08;-2.745326502991475e-10;-1.709956028688067e-08;-1.215391156860765e-10;5.394343603369034e-14;1.658881814530155e-13;-3.250466704818912e-16;5.417610171866848e-14;-3.49771269576302e-17;-5.906060318922654e-17;3.300718744831668e-19;-1.249870683810609e-05;-2.415801613602195e-05;-5.682017526747399e-08;-1.249855290334719e-05;-6.259019891646173e-08;8.545618051689464e-11;5.747469039436552e-13
6.577243266092425;0.006503023156406479;2.405473024495928e-13;4.977153246853389e-05;-5.929271012416109e-08;0.006502922035041876;1.778109948966706e-05;-5.92927920775135e-08;-2.998450114007988e-10;-1.74641375991065e-08;-1.334310892985455e-10;5.034583263418868e-14;1.398545523508634e-13;2.633660933565148e-16;5.038610472026241e-14;1.718681417785403e-16;-3.918725572173539e-17;7.733157425162622e-19;-1.271096228655832e-05;-2.434987365514797e-05;-6.157081922518624e-08;-1.27107836983776e-05;-6.839966112177682e-08;8.717155000991491e-11;6.30687314294068e-13
6.97724217666537;0.006562991843708104;8.293130685215323e-14;5.044263415853892e-05;-6.030915755719447e-08;0.006562889090745174;1.922144087294527e-05;-6.030796403447031e-08;-3.268770923331503e-10;-1.786415866115867e-08;-1.462727357355341e-10;-1.950470623003653e-14;4.374789044155545e-14;2.347881334069318e-16;-1.9670771892454e-14;-6.389153396174258e-17;7.938288107273182e-18;-2.144257719177181e-19;-1.294270647058018e-05;-2.455751693998656e-05;-6.655654985201926e-08;-1.294249979774158e-05;-7.461269905672042e-08;8.904976939488983e-11;6.910260902375776e-13
7.377240906205124;0.006627749424405397;1.059238094525881e-13;5.117203262971594e-05;-6.141545821945994e-08;0.006627644897128349;2.073728442185563e-05;-6.141434702677582e-08;-3.5591859843874e-10;-1.830252819866736e-08;-1.601919169185231e-10;5.285167939215536e-15;9.5254241583584e-14;8.076683979915254e-18;5.455002633763556e-15;-7.624085497214543e-17;-7.060270397497205e-17;1.234901783673105e-19;-1.319531343259004e-05;-2.478173558047122e-05;-7.180335259446099e-08;-1.319507473007608e-05;-8.128015993866819e-08;9.11134214030795e-11;7.566726571237551e-13
7.777239429906569;0.00669755402364213;1.51609178362171e-13;5.196375070603245e-05;-6.26186912799026e-08;0.006697447569513456;2.233694959771053e-05;-6.261802690513613e-08;-3.870608618183576e-10;-1.878258951022639e-08;-1.753353208361218e-10;-3.108071565797046e-14;-8.94206480694603e-14;1.976735585398603e-16;-3.106736146645135e-14;-9.341032709889089e-17;-4.045316828887464e-17;6.66662707977374e-19;-1.347034843923193e-05;-2.502342246709518e-05;-7.733999373455647e-08;-1.347007317637349e-05;-8.845961434674992e-08;9.337666815525739e-11;8.277209901620131e-13
8.177237719174268;0.006772695023753661;5.409513591121852e-14;5.282233914657513e-05;-6.392719898561726e-08;0.006772586478889495;2.402971566435433e-05;-6.392584785979443e-08;-4.207394248406162e-10;-1.930818267992486e-08;-1.918730834005588e-10;-1.753450740108449e-14;-1.886978409563315e-14;1.050005235649957e-16;-1.760701109640962e-14;-7.558383304723092e-17;-8.383331809126293e-17;6.642131296530112e-19;-1.376958702536475e-05;-2.528357799685302e-05;-8.319855727839377e-08;-1.376926997996832e-05;-9.621664090781885e-08;9.585561096659211e-11;9.055913464732839e-13
8.577235741326897;0.006853487697173788;4.814134226338308e-14;5.3752845615362e-05;-6.535037814117417e-08;0.006853376881660564;2.58259117891782e-05;-6.534878577513641e-08;-4.571448200738135e-10;-1.988365069179326e-08;-2.10003741048978e-10;-1.096527013203213e-15;4.618402880593566e-14;5.587119093502965e-16;-8.991545369915705e-16;1.332020452445405e-16;-3.836809274736236e-17;-3.07902325462486e-18;-1.409500845390008e-05;-2.556329217157198e-05;-8.941476004422691e-08;-1.409464357202766e-05;-1.046258859109435e-07;9.85821377160349e-11;9.907502218983806e-13
8.977233458436807;0.006940285484289219;6.629376958001592e-14;5.476098920629483e-05;-6.689578553765432e-08;0.006940172206712701;2.77371307627731e-05;-6.68957902700582e-08;-4.967450835742484e-10;-2.051399928973446e-08;-2.299555837455387e-10;7.321259322089151e-15;5.173902783432223e-14;-1.597019349160486e-15;7.171969930167812e-15;-6.173193316525477e-16;1.186210199805724e-17;-1.807166710595605e-19;-1.444886189365293e-05;-2.586378675842176e-05;-9.602868707875918e-08;-1.444844213297617e-05;-1.13773007891166e-07;1.015787560327547e-10;1.084719111161703e-12
9.377230826340412;0.007033484069319011;2.453179077018347e-13;5.585325225290592e-05;-6.857598294560224e-08;0.007033368123145356;2.977640151267145e-05;-6.857518993934783e-08;-5.399656080148025e-10;-2.120499923044721e-08;-2.519944285334659e-10;-6.188385619128367e-14;-1.210704696792265e-13;1.698946846990007e-16;-6.220505099627144e-14;-2.164230941468308e-16;-1.585308350530792e-16;3.480646069298004e-19;-1.483370474479255e-05;-2.618643046798533e-05;-1.030853866169836e-07;-1.483322190379354e-05;-1.237565868590657e-07;1.048636654977581e-10;1.188766275592731e-12
9.777227793768368;0.007133520116663032;2.57937032358756e-13;5.703691230277924e-05;-7.040144961178954e-08;0.007133401279666106;3.195843386026679e-05;-7.039883651497633e-08;-5.871112486230975e-10;-2.196328919949548e-08;-2.764367676196335e-10;-7.254983274780951e-14;-1.130453355488471e-13;1.405561020040655e-15;-7.231277262003547e-14;1.476074799731565e-16;-2.909144206388129e-17;-8.058558654677317e-19;-1.52524218280298e-05;-2.6532732649974e-05;-1.106357234865398e-07;-1.525186629275723e-05;-1.346904870779045e-07;1.084679817929042e-10;1.303661744581693e-12
